अातंकियों,अातंकी
उपनिदेश्का,उपनिदेश्क
प्रासंगिकता,प्रासंगिक
सिफारिश्ााे,सिफारिश
विवरण्ााे,विवरण
वर्गों,वर्ग
असामयिक,असमय
भाइयो,भाइी
ताकतो,ताकत
अखबारो,अखबार
नजरिये,नजर
विद्यार्थियो ,विद्यार्थी
अस्वीकार,अस्वीकार
कारण्ााे,कारण
जातियो,जाति
डाक्टरो,डाक्टर
कालेजो,कालेज
सेवाएं,सेवा
प्राथमिकता,प्राथमिक
हड़ताली,हड़ताल
रोगियो,रोगी
उठाना,उठाना
सदस्यता,सदस्य
उग्रवादियो,उग्रवादी
काफिले,काफिला
उपभोक्ताअाे,उपभोक्ता
टिकटो,टिकट
डाकखानो,डाकखाना
गुमश्दाुगी,गुमश्दा
निष्कर्षों,निष्कर्ष
सदनो,सदन
